title,summary,category
Zamlı memur ve emekli maaşları ne zaman yatacak? Maaş farkları ne zaman ödenecek? Gözler o tarihte (2025 memur ve emekli maaşı ödeme günleri),"Aralık ayı enflasyon verilerinin açıklanmasıyla birlikte milyonlarca memur ve emeklinin gündeminde zamlı maaş farklarının yatırılacağı tarih yer almaya başladı. 2025 memur ve emekli maaşı ödeme günleri, aralık ayı enflasyonunun belli olmasının ardından zamlı maaşların hesaplanmasıyla birlikte araştırılıyor.",Ekonomi
"En düşük emekli maaşı düzenlemesinde son durum: 2025'te en düşük emekli maaşı ne zaman artacak, ne kadar olacak?",Kök maaşının düşüklüğünden dolayı zamlı maaşı 12 bin 500 TL'nin altında kalan emekliler için ilave düzenleme yapılması bekleniyor. 6 aylık enflasyon kaynaklanan zam oranı kök maaşa uygulanıyor.En düşük emekli maaşı temmuz ayı itibarıyla en 12 bin 500 lira olarak belirlenmişti.,Ekonomi
Aydın'dan İtalya'ya 19 ton ihraç edilecek: Ülke ekonomisine büyük katkı sağlıyor,"Aydın’ın Söke ilçesinden İtalya’ya gönderilecek olan 19 ton balığın ihracatı için ön sağlık sertifikaları düzenlendi. Ülke ekonomisine önemli katkı sağlayan ihracatta gıda maddelerine yönelik gerçekleştirilen kontroller devam ederken, Aydın’ın Söke ilçesinde özellikle son yıllarda ihracat ürünü olarak taze ve dondurulmuş balık ihracatı da öne çıkıyor.",Ekonomi
2025 banka promosyon tutarları: Emekli banka promosyonları ne kadar oldu?  En yüksek promosyon veren bankalar hangileri?,"Bankalar, maaş müşterilerini çekmek ve mevcut müşteri memnuniyetini artırmak amacıyla yalnızca promosyon tutarlarını değil, aynı zamanda bir dizi faydalı hizmeti de paketlerine dahil etmeye başladı. 12.000 TL ye varan nakit promosyona ilave olarak DenizBank’ta yeni hesap açan ve 3 yıl süre ile maaş alma sözü veren MobilDeniz, Kredi Kartı, Otomatik Fatura Talimatı ve Kredili Mevduat Hesabı ürünü sahibi emeklilere maaş tutarına göre 8.000 TL ye varan ek promosyon sunulmaktadır.",Ekonomi
Ehliyet almak cep yakacak: Her kaleme zam geldi,B sınıfı ehliyetin harç ücreti değerli kağıt ve vakıf payı dahil 7 bin 438 lira olarak belirlendi. Böylece bütün kalemler ele alındığında bir sürücü adayının ehliyet almak için 30 bin lira harcaması gerekecek.,Ekonomi
"Fiyatlar 150, 100, 75 lira: Rağbet yağıyor, tezgahta şampiyonluğu devam ediyor","Bu sezon balık bolluğunun sürdüğünü belirten balıkçı esnaflarından Mehmet Örseloğlu, ""Hamsinin şu anki durumu gayet güzel. Yoğun palamut bolluğunun ardından bu sene hamsinin az geleceğini düşünüyorduk ancak öyle olmadı.",Ekonomi
Hem ev sahiplerini hem kiracıları ilgilendiriyor: Site aidatlarına büyük zam bekleniyor,"Yönetim kurullarının yeni elektrik düzenlemesinden etkilenmemesi, tasarruf ve indirim fırsatlarından faydalanabilmesi için bağlı bulundukları elektrik kurumlarına başvurarak tarifelerini indirimli sözleşmelere göre revize etmesi gerekiyor.” Genel kurul sürecinde denetim kurullarının atması gereken adımlara da değinen Sağır, geçen yıldan kasa bakiyesinde kalan aidatların 2025 yılı işletme bütçesinden mahsup edilerek yeni dönem aidatların maliklere yönetim planlarında yazıldığı gibi paylaştırılması gerektiğini söyledi. Sağır, işletme bütçelerinde aidatlarla karşılanacak giderler ile demirbaş harcamalarının ayrı tutulması gerektiğini, bu durumun kiracıların sorumlu olmadığı kalemlerle ilgili yanlış uygulamaların önüne geçebildiğini aktardı.",Ekonomi
Dolar kuru bugün ne kadar? (6 Ocak 2025 dolar - euro fiyatları),"Küresel piyasalarda, yeni ABD yönetiminin gelecek dönemde izleyeceği ticari ve ekonomik politikalara ilişkin belirsizliklerin yanı sıra dünyanın önemli ekonomilerindeki durgunluk endişeleriyle karışık bir seyir öne çıktı. Büyük ekonomilerde verilerden alınan sinyaller enflasyon ve resesyon ikileminin yeniden fiyatlamalara yansımasına neden olurken, bu hafta ABD'de açıklanacak istihdam verilerinin ABD ekonomisi hakkında daha çok bilgi vermesi bekleniyor.",Ekonomi
"Refah payı nedir, kimlere verilir? Refah payı nasıl hesaplanır?","Refah payı, ekonomik koşullardaki iyileşmelere paralel olarak, genellikle kamu çalışanları ve emeklilerinin maaş veya ücretlerine yapılan bir artıştır. Bu artışlar, toplu iş sözleşmeleri ya da hükümetin düzenlemeleri doğrultusunda belirlenir.Emekliler: Kamu ve özel sektör emeklileri, maaşlarına refah payı eklenerek ekonomik iyileşmelerden faydalanabilirler.",Ekonomi
Benzine zam geliyor: Tabelalar bu gece değişecek,"Bugün akaryakıt litre fiyatlarında indirim ya da zam var mı? Gümrüksüz Rafineri Fiyatı hesaplanırken ise, Akdeniz-İtalyan piyasasında yayınlanan günlük CIF Akdeniz ürün fiyatları ve günlük Dolar kuru takip edilerek, belli bir fiyat değişim farkında gümrüksüz rafineri tavan satış fiyatı elde ediliyor",Ekonomi
Askerlik ve doğum borçlanması ne kadar oldu? 2025 askerlik ve doğum borçlanması ücreti,"Doğum ve askerlik borçlanması günlük brüt asgari ücretin yüzde 32'sinden az bu tutarın 7,5 katından fazla ise yapılamıyor. Asgari ücretin, 2025'te brüt 26 bin 5 lira 50 kuruş olarak belirlenmesiyle işsizlik ödeneğinden Genel Sağlık Sigortası primine, kıdem tazminatından staj ücretine kadar birçok kalemde 1 Ocak itibarıyla değişiklik yaşanacak.",Ekonomi
"1 bardağı 90 lira, havalar soğuyunca ilgi arttı: ""Her geçen almak istiyor""","Eskişehir'in en bilinen lezzetlerinden olan kumda kahve, havaların soğuması ve son yıllarda artan popülerliği ile ilgi odağı haline geliyor. Tarihi Odunpazarı Bölgesi'ni ziyaret etmeye gelen vatandaşlar, hem sıcak hem de lezzetli olması nedeniyle kumda kahveyi tercih ediyor Kumda kahvenin özenli pişirme süreci, ortaya çıkan zengin aroma ve nostaljik bir deneyim sunması, bu içeceği diğerlerinden ayırıyor.",Ekonomi
Fiyatı 250 TL'ye kadar geriledi: Tezgahta yoğun ilgi görüyor,"Soğuk havaların vazgeçilmez yiyeceklerinden olan balığa vatandaş yoğun ilgi gösterirken, tezgahlarda yer alan çinekopun fiyatı dikkat çekiyor. Güncel balık fiyatları hakkında bilgilendirmede bulunan esnaf Erkan Arslanbenzer, ""Şu aralar hamsi fiyatlarımız 200-250 TL bandında seyrediyor.",Ekonomi
Kuryelerin mesai saatlerine düzenleme geliyor,"Bilgi Teknolojileri ve İletişim Kurumu (BTK) kurye sektörüne yönelik yeni bir düzenleme hazırlığı yaptığı bildirildi. Düzenleme sektördeki düzensiz yapının kontrol altına alınması, şikayetlerin azaltılması ve tüketici memnuniyetinin artması amacıyla yapılıyor.",Ekonomi
Vergi cezalarında rekor kırıldı,"Hazine ve Maliye Bakanlığı Vergi Denetim Kurulu (VDK) Başkanlığı, geçen yıl gerçekleştirdiği vergi incelemeleri sonucunda, gecikme faizleri hariç 120 milyar lirayla rekor kamu alacağının tahakkuk ettirilmesini sağladı.Bakanlıktan edinilen bilgilere göre, VDK, geçen yıl boyunca büyük mükellefler, görünür bir geliri olmadan lüks tüketimde bulunanlar, sosyal medya fenomenleri ile IBAN yoluyla vergisiz tahsilat gerçekleştirenler başta olmak üzere, çok sayıda kesime yönelik denetim gerçekleştirmiş, kuyumculuk ve demir-çelik gibi pek çok sektörde de sayım yürütmüştü.VDK'nin yıl boyunca gerçekleştirdiği denetimler sonuçlarını verdi. Hazine ve Maliye Bakanı Mehmet Şimşek, kazancına rağmen düşük vergi ödeyen ya da ödemeyen mükelleflere yönelik denetimlerin sonuçlarını aldıklarına işaret ederek, şu ifadeleri kullandı:""Denetimlerimizde, kazancını kayıt dışı bırakan mükelleflerin üzerine gidildi.",Ekonomi
Avrupa'ya açılan sınır kapılarından geçişler arttı,Türkiye'den Avrupa'ya açılan gümrük kapılarından geçen yıl 15 milyon 979 bin 513 yolcu geçiş yaptı. Trakya'daki gümrük kapılarından giriş çıkış yapan binek araç sayısı da 2024'te 2023'e göre yüzde 6 arttı.,Ekonomi
Komşudan ısınan yandı! Yüksek fatura ödeyebilir,"Tasarruf yapmak isteyenler, kombileri düşük seviyede çalıştırma veya bazı odalarda petekleri kapatma gibi yöntemleri izliyor. Uzmanlar, komşunun doğalgaz açmaması nedeniyle yüksek fatura ödenmesi halinde mahkemeye başvurarak farkın talep edilebileceğini belirtiyor.",Ekonomi
27 yaşındaki genç pandemide hobi olarak bu işe başlamış: Şimdi Avrupa ve ABD'ye satıyor,"Erzincan'da girişimci Muhammed Furkan Gürci (27), pandemi döneminde hobi olarak başladığı kamp malzemeleri üretiminde Avrupa ve ABD'ye satış yapar hale geldi. Genel olarak kamp malzemeleri, bıçak, balta, deri eldiven, ahşap ürünler tasarlayarak üreten Gürci, internet üzerinden yurt dışına da ulaşmaya başladı.",Ekonomi
"Bağlar erken uyanıyor, üreticiler tedirgin",Manisa'nın Sarıgöl ilçesinde üzüm bağlarında görülen erken uyanma üreticiler arasında tedirginlik oluşturmaya devam ediyor. Kendi bağıma budama için gittiğimde benim bağda da erken yaprak açmaya başladığını görünce tedirgin oldum.,Ekonomi
Cevdet Yılmaz: Kişi başı gelir bu yıl 15 bin 500 doları geçecek,"HAZİRANDAN YIL SONUNA KADAR ENFLASYON 31 PUANDAN FAZLA DÜŞTÜ   Yılmaz, en öncelikli konunun enflasyonla mücadele olduğuna değinerek, şunları kaydetti:  ""Bu noktada da programımızın başarılı sonuçlar ürettiğini, meyvelerini vermeye başladığını ifade edebilirim. Türkiye'nin uzun bir süre tek haneli enflasyonu yakaladığını, o dönemlerde en yüksek büyümeleri, gelir dağılımında iyileşmeleri ve sosyal refahı sağladığını söyleyen Yılmaz, yine aynı şeyi beklediklerini belirtti.",Ekonomi
ŞOK aktüel indirimleri 4-7 Ocak 2025: ŞOK markette bu haftaya özel yeni indirimli ürünler,"ŞOK market, 4-7 Ocak haftasında geçerli yeni indirimli aktüel ürünler kataloğunu resmi internet sitesi üzerinden duyurdu. ŞOK'ta bu hafta birçok üründe yeni fırsat indirimleri yer alıyor.",Ekonomi
Geçen yıl 67 milyon e-Tebligat ile 6 milyar lira tasarruf sağlandı,"Adalet Bakanı Yılmaz Tunç, geçen yıl 67 milyon e-Tebligat ile 6 milyar lira tasarrufun sağlandığını bildirdi. Bakan Tunç, ""E-Tebligat ile 2024 yılında 67 milyondan fazla tebligat muhataplarına elektronik ortamda iletildi.",Ekonomi
Influencerlara yönelik eğitimin ikincisi 9 Ocak'ta yapılacak,"Söz konusu eğitim, katılımcılara, yasal, etik ve sorumlu pazarlama iletişimi değerlerini destekleyen sosyal medya etkileyicilerinin markaların gözünde de kendilerini farklı kılınabilme olanağı sağlıyor. 100 BİNDEN FAZLA TAKİPÇİSİ OLANLAR KATILABİLİYOR   Söz konusu eğitim programının ikincisi 9 Ocak Perşembe günü Vergi Denetim Kurulunun Ataşehir Hizmet Binası'nda gerçekleştirilecek.",Ekonomi
Yemek kartı ile alışveriş yapanlardan prim kesintisi yapılacak mı? Milyonlarca kişinin beklediği açıklama geldi,"İş yerleri tarafından yemek harcamaları için verilen kartlarla market ihtiyaçlarını karşılayan milyonlarca çalışan bu sorunun yanıtını merak ediyor. Yemek Kartları Derneği Başkanı Öner Piyade, çalışanları ve işvereni sıkıntıya sokacak, gıda alımını engelleyecek bir düzenleme olmadığını söyledi.",Ekonomi
A101 aktüel indirimleri 9 Ocak 2025: A101 marketten yılbaşına özel yeni indirimli ürünler,"A101 market, 9 Ocak tarihinde geçerli yeni indirimli aktüel ürünler kataloğunu resmi internet sitesi üzerinden duyurdu. A101 indirimlerini kaçırmak istemeyen ve ucuz yolla alışveriş fırsatını değerlendirmek isteyen vatandaşlar, A101 güncel indirimli aktüel ürünler kataloğunu araştırıyor.",Ekonomi
"Memur ve emekli maaşı ocak zammı 2025: Memur ve emekli zammı ne kadar oldu, yüzde kaç zamlandı? En düşük emekli maaşı artacak mı?","Memur ve emekli maaşı zamlarının ne kadar olduğu, Türkiye İstatistik Kurumu (TÜİK) tarafından açıklanan 6 aylık enflasyon verileri sonrasında sorgulanmaya başladı. Türkiye İstatistik Kurumu (TÜİK) tarafından ocak ayında açıklanan aralık ayı enflasyon verileriyle birlikte, milyonlarca memur ve emekliye 2025 yılının ilk yarısında yapılacak zam oranı netlik kazandı.",Ekonomi
ABD'nin petrol sondaj kulesi sayısı azaldı,"Perşembe gününü 75,77 dolardan kapatan Brent petrolün varil fiyatı, cumayı 75,93 dolar seviyesinde tamamladı. Batı Teksas (WTI) tipi ham petrolün varil fiyatı, cuma gününü 73,13 dolar düzeyinde kapattı.",Ekonomi
Sıcak hava balon uçuşlarında yolcu sayısında rekor,"UÇUŞLARIN YÜZDE 80'DEN FAZLASI KAPADOKYA'DAN   Türkiye'de SHGM tarafından yetkilendirilen 71 sıcak hava balon işletmesi bulunduğu bilgisini veren Uraloğlu, 6 onaylı kurum aracılığıyla sektöre yönelik eğitimler sunulduğunu aktardı. Uraloğlu, yapılan uçuşların yüzde 80'den fazlasının Kapadokya bölgesinde gerçekleştiğine dikkati çekerek, şunları kaydetti:  ""Türkiye'nin yükselen turizm yıldızı sıcak hava balonu işletmeciliği her yıl büyümeye devam ediyor.",Ekonomi
"Türk lirasıyla dış ticaret hacmi 2024'te 1,1 trilyon lirayı aştı","Türk lirasıyla dış ticaret, geçen yıl bir önceki yıla kıyasla yüzde 37,5 artarak 1 trilyon 129 milyar 194 milyon liraya ulaştı. Ticaret Bakanlığı verilerinden yaptığı derlenilene göre, Cumhuriyet tarihinin en yüksek ihracatı gerçekleştirilen 2024'te Türk lirasıyla yapılan ticaretteki artış dikkati çekti.",Ekonomi
En düşük emekli maaşı artacak mı? Cumhurbaşkanı Yardımcısı Cevdet Yılmaz’dan açıklama,"Cumhurbaşkanı Recep Tayyip Erdoğan’ın asgari ücrete ilişkin, “Şayet enflasyon oranında çok ciddi bir sapma olursa tabii ki biz de buna kayıtsız kalmaz, gerekli değerlendirmeleri yaparız.” dediğini hatırlatan Yılmaz, şunları kaydetti: “Cumhurbaşkanımız zaten bunu söyledi. Cumhurbaşkanımız bunun ana başlığını açıkladı zaten, detaylarını tartışacağız.” Amacın KOSGEB kanalıyla işletmelere bu desteğin bürokrasi oluşturmadan, çok hızlı, seri şekilde tespitleri yapılarak verilmesi olduğunu vurgulayan Yılmaz, “İşletmelerimize 2 bin 500 liraya kadar olan desteği sağlamak istiyoruz.",Ekonomi
Turizmcilerden 2025'te Antalya için yeni rekor beklentisi,"""BU YIL FRANSA'YA YOĞUNLAŞACAĞIZ""   Akdeniz Turistik Otelciler ve İşletmeciler Birliği Başkanı Kaan Kaşif Kavaloğlu da turizmde güzel bir yılı geride bıraktıklarını söyledi. Antalya'nın bir numaralı pazarının Rusya olduğunun altını çizen Kavaloğlu, Rusya-Ukrayna arasındaki savaş bitmediği takdirde bu iki pazarda büyüme beklemediklerini belirtti.",Ekonomi
Küresel piyasalar ABD'deki tarım dışı istihdam verilerine odaklandı,"ABD'de açıklanan makroekonomik veriler ülkede Fed'in istediği ölçüde bir soğuma olmadığına işaret ederken, başkan seçilen Donald Trump'ın göreve başlamasıyla uygulayacağını ifade ettiği tarifeler sonrası ortaya çıkabilecek problemler de yatırımcılar açısından soru işareti oluşturuyor. Bölge ekonomilerinde resesyon riskinin devam etmesi Avrupa Merkez Bankasının (ECB) bu yıl en az 4 faiz indirimine gideceğinin fiyatlanmasına neden olurken, açıklanacak verilerden alınacak sinyallerle söz konusu fiyatlamaların değişebileceği tahmin ediliyor.",Ekonomi
MTV'de ilk taksit ödemesi başladı: Son tarihe dikkat!,"İnternet üzerinden yapılacak ödemelerde mağduriyetin oluşmaması için tarayıcıya ""gib.gov.tr"" adresi ya da bankaların resmi internet adresleri yazılarak giriş yapılması önem taşıyor. Bu yılın vergi takviminde, mükelleflerin Ekim-Kasım-Aralık 2024 dönemine ait geri kazanım katılım payı, yıllık harçların ödenmesi ay sonuna kadar gerçekleştirilecek.",Ekonomi
Benzinde tabela değişecek: Salı günü zam bekleniyor,"Sektör kaynaklarından edinilen bilgiye göre, benzinin litre fiyatına 1 lira 27 kuruş zam beklentisi var. Gümrüksüz Rafineri Fiyatı hesaplanırken ise, Akdeniz-İtalyan piyasasında yayınlanan günlük CIF Akdeniz ürün fiyatları ve günlük dolar kuru takip edilerek, belli bir fiyat değişim farkında gümrüksüz rafineri tavan satış fiyatı elde ediliyor.",Ekonomi
"Ocak ayı kira artış oranı ne kadar, yüzde kaç oldu? 2025 ocak ayı kira zammı ne kadar, kaç TL? (12 aylık güncel TÜFE verileri)","Kira kontrat süresi dolan ve yenileyecek olan vatandaşlar güncel on iki aylık TÜFE rakamları üzerinden ev sahiplerine zam yapacak. Her ayın başında TÜİK tarafından açıklanan enflasyon verilerinin belli olmasıyla birlikte kira artış oranları ev, işyeri sahipleri ve kiracıların gündeminde yer almaya devam ediyor.",Ekonomi
Maliye politikası enflasyona destek verecek mi?,"Merkez Bankası Kasım ayı faiz kararını açıkladığında metinde maliye politikasıyla ilgili önemli bir değerlendirme yapmıştı. Enflasyondaki düşüş hakkında ""Maliye politikasının artan eşgüdümü de bu sürece önemli katkı sağlayacaktır"" ifadelerini kullanmıştı.",Ekonomi
Bankalarda yeni dönem: Yönetici sürelerine sınır geliyor,"Bankacılık Düzenleme ve Denetleme Kurumu (BDDK), banka CEO'larının görev sürelerine sınır getiriyor. Genel müdür yardımcıları için bu süre, belirli şartlarla 5 yıl daha uzatılabilecek.",Ekonomi
Merkez Bankası rezervleri geriledi,"Merkez Bankası'nın toplam rezervleri, geçen hafta 1 milyar 137 milyon dolar geriledi. Türkiye Cumhuriyet Merkez Bankası (TCMB), haftalık para ve banka istatistiklerini açıkladı.",Ekonomi
Kur korumalı mevduatta düşüş hızlandı,"Kur korumalı mevduat hesapları geçen hafta 23,5 milyar lira düşüş kaydetti. Ekonomi yönetiminin yeni kararlarının ardından kur korumalı mevduatta çözülme hızlandı.",Ekonomi
İhracatta Cumhuriyet tarihinin rekoru kırıldı | Cumhurbaşkanı Erdoğan: 2024'te 262 milyar dolar ihracatla rekor kırıldı,"Enflasyonla mücadelenin 2024 yılında dünya gündemine damga vurduğuna dikkat çeken Erdoğan, “2025’te bizleri nispeten daha iyi bir yıl bekliyor.” dedi. ""KALICI BARIŞ İÇİN GAYRET SARF EDİYORUZ""   Kış mevsiminin bastırmasıyla birlikte Gazze’de tek bir masumun daha hayattan kopartılmasına tahammülümüz yok.",Ekonomi
Cumhurbaşkanı Yardımcısı Yılmaz: Temel amacımız kalıcı sosyal refahı sağlamak,"Yurt içi üretici fiyatlarındaki ılımlı seyrin, tüketici fiyatları üzerindeki maliyet yönlü baskıyı hafiflettiğine dikkat çeken Yılmaz, temel mallardaki fiyat artışlarının önemli ölçüde zayıflamaya devam ettiğini vurguladı. Toplumsal refahı ilerletmek, ekonomide öngörülebilirliği artırmak, kaynakların daha adil ve etkin dağılımını gerçekleştirmek için uyguladığımız ekonomi programımızı kararlılıkla sürdürüyoruz.""",Ekonomi
Yemek çekinde yeni dönem,"Danıştay, yemek kartı kullanımında restoran ve market harcamalarını ayıran bir karara imza attı. Yemek çeklerinin market harcamalarında kullanılması halinde sadece günlük 158 TL'lik kısım prim kesintisinden istisna tutulacak.",Ekonomi
"43 yıldır aynı noktada tezgahını kuruyor: Çiğ fiyatı 250, pişmiş fiyatı ise 600 lira","Ordu’nun Fatsa ilçesinde kış mevsiminin vazgeçilmezi olan kestane satışı yapan Ramazan Çoruh, 43 yıldır aynı noktada tezgahını kuruyor. Fatsa ilçesinde 43 yıldır aynı noktada tezgah açarak kestane kebap satışı yapan Ramazan Çoruh, kış mevsimi geldiğinde insanların kestaneyi çok fazla tercih ettiklerini söyledi.",Ekonomi
Özel okul fiyatları ne kadar zamlanacak? 2025-2026 yılı zam oranı netleşiyor,"Formüle göre, özel okulların gelecek eğitim-öğretim yılında yapabilecekleri en yüksek zam oranı, 12 aylık ÜFE ve TÜFE toplamının yarısına 5 puan eklenerek belirleniyor. Yeni yönetmelikte yemek ve servis ücretlerine yönelik bir düzenleme yok ancak diğer hizmetlere ilişkin önlemler alındı.",Ekonomi
Bakan Şimşek: Ekonomide dengelenme gerçekleşti,"Hazine ve Maliye Bakanı Şimşek, ekonomide yeniden dengelenmenin gerçekleştiğini belirterek, ""Reel büyüme tahminlerimizin altında kalacak olsa da dolar cinsinden milli gelir 1,3 trilyon dolara ulaşacak."" Bakan Şimşek, paylaşımlarında şu ifadeleri kullandı:  Reel büyüme tahminlerimizin altında kalacak olsa da dolar cinsinden milli gelir 1,3 trilyon dolara ulaşacak.",Ekonomi
Avrupa'nın yumuşak karnı: Doğalgaz,"Ukrayna, Rusya gazını kendi üzerinden Avrupa'ya akışını durdurdu. Güzergah Avrupa'nın ihtiyacının yüzde 5'ini karşılıyor olsa da krizi tetikleyici riskler taşıyabilir.",Ekonomi
Zamlı memur maaşları ve maaş farkları ne zaman yatacak? (2025 ocak ayı memur zammı ve maaş farkı ödeme günleri),Yapılacak zam oranının belli olmasının ardından memur maaşı ödeme günleri ve maaş farklarının yatırılacağı tarih araştırılmaya başlandı. TÜİK tarafından açıklanan 6 aylık enflasyon rakamları ile birlikte memur ve emeklisinin alacağı zam oranı belirlenmiş oldu.,Ekonomi
Bakanlık harekete geçti: Suriye'den Antep fıstığı alınacak,"Baklavacılık sektörü temsilcileri, fiyat artışını durdurmak için Suriye'den fıstık ithalatının yapılmasını talep etti. Söz konusu dönemde ithal edilen Antep fıstığı miktarı 255,4 tondan yaklaşık 301,4 tona yükseldi.",Ekonomi
Aralık ayının zam şampiyonu belli oldu,"Tüketici fiyatları bazında Aralık 2024'te en fazla fiyat artışı yüzde 12,17 ile yumurtada, en fazla fiyat düşüşü ise yüzde 27,78 ile hava yoluyla yolcu taşımacılığında görüldü. Geçen ay en fazla fiyat düşüşü ise yüzde 27,78 ile hava yoluyla yolcu taşımacılığında görüldü.",Ekonomi
Borsa güne yükselişle başladı,"Açılışta BIST 100 endeksi, önceki kapanışa göre 29,07 puan ve yüzde 0,29 artışla 9.990,42 puana çıktı. Yurt içinde dün alış ağırlıklı bir seyir izleyen Borsa İstanbul'da BIST 100 endeksi, günü yüzde 0,91 değer kazancıyla 9.961,34 puandan tamamlarken, bugün gözler açıklanacak enflasyon verilerine çevrildi.",Ekonomi
Zamlı evde bakım maaşı ne kadar oldu? 2025 memur maaşı ocak zammına göre evde bakım maaşı ücreti,"Memur zammına göre değişen evde bakım maaşları da aralık ayı TÜFE verilerinin ardından değişti. 2025 memur ve emeklinin zam oranı sonrasında, zamlı evde bakım maaşı için hesaplamalar başladı.",Ekonomi
Kıdem tazminatı tavanı ne kadar oldu? Kıdem tazminatı hesaplama 2025,"İşte 2025 zammı sonrası kıdem tazminatında yeni tavan tutarı... 2025 yılında geçerli olacak asgari ücret 22 bin 104 lira olarak belirlendi. Kıdem tazminatı, bir işçinin aynı işverene bağlı olarak çalıştığı her tam yıl için 30 günlük brüt ücreti üzerinden hesaplanır.",Ekonomi
Bakan Şimşek: Önceliğimiz geçim sıkıntısını çözmek,"Hazine ve Maliye Bakanı Mehmet Şimşek, enflasyonda düşüşün devam edeceğini belirterek, ""Vatandaşımızın geçim sıkıntısını çözmek en büyük önceliğimizdir."" Maliye politikasının artan desteğinin yanı sıra hizmet enflasyonundaki katılığın azalması ve beklentilerdeki iyileşme ile 2025 yılında enflasyonun hedefimiz doğrultusunda gerçekleşmesini bekliyoruz.""",Ekonomi
